position,opponents,sizing_pct,board,expected_profit_pct_of_pot,recommendation
CO,2,50%,Dry,0.2916,C-BET — strong spot
UTG,2,50%,Dry,0.2899,C-BET — strong spot
BTN,2,50%,Dry,0.2891,C-BET — strong spot
BB,1,75%,Wet,0.2852,C-BET — strong spot
MP,2,50%,Dry,0.285,C-BET — strong spot
HJ,1,75%,Wet,0.2845,C-BET — strong spot
SB,1,75%,Wet,0.2827,C-BET — strong spot
CO,1,75%,Wet,0.282,C-BET — strong spot
UTG,1,75%,Wet,0.2803,C-BET — strong spot
BTN,1,75%,Wet,0.2796,C-BET — strong spot
MP,1,75%,Wet,0.2754,C-BET — strong spot
BB,2,50%,Medium,0.2724,C-BET — strong spot
HJ,2,50%,Medium,0.2717,C-BET — strong spot
SB,2,50%,Medium,0.27,C-BET — strong spot
CO,2,50%,Medium,0.2693,C-BET — strong spot
BB,1,50%,Dry,0.2689,C-BET — strong spot
HJ,1,50%,Dry,0.2682,C-BET — strong spot
UTG,2,50%,Medium,0.2675,C-BET — strong spot
BTN,2,50%,Medium,0.2668,C-BET — strong spot
SB,1,50%,Dry,0.2665,C-BET — strong spot
CO,1,50%,Dry,0.2658,C-BET — strong spot
UTG,1,50%,Dry,0.2641,C-BET — strong spot
BTN,1,50%,Dry,0.2633,C-BET — strong spot
MP,2,50%,Medium,0.2626,C-BET — strong spot
MP,1,50%,Dry,0.2592,C-BET — strong spot
BB,1,50%,Medium,0.2466,C-BET — marginal spot
HJ,1,50%,Medium,0.2459,C-BET — marginal spot
SB,1,50%,Medium,0.2442,C-BET — marginal spot
CO,1,50%,Medium,0.2435,C-BET — marginal spot
BB,2,33%,Dry,0.2429,C-BET — marginal spot
HJ,2,33%,Dry,0.2422,C-BET — marginal spot
UTG,1,50%,Medium,0.2417,C-BET — marginal spot
BTN,1,50%,Medium,0.241,C-BET — marginal spot
SB,2,33%,Dry,0.2404,C-BET — marginal spot
CO,2,33%,Dry,0.2397,C-BET — marginal spot
UTG,2,33%,Dry,0.238,C-BET — marginal spot
BTN,2,33%,Dry,0.2373,C-BET — marginal spot
MP,1,50%,Medium,0.2369,C-BET — marginal spot
BB,2,50%,Wet,0.2347,C-BET — marginal spot
HJ,2,50%,Wet,0.234,C-BET — marginal spot
MP,2,33%,Dry,0.2331,C-BET — marginal spot
SB,2,50%,Wet,0.2323,C-BET — marginal spot
CO,2,50%,Wet,0.2316,C-BET — marginal spot
UTG,2,50%,Wet,0.2299,C-BET — marginal spot
BTN,2,50%,Wet,0.2291,C-BET — marginal spot
MP,2,50%,Wet,0.225,C-BET — marginal spot
BB,2,33%,Medium,0.2206,C-BET — marginal spot
HJ,2,33%,Medium,0.2198,C-BET — marginal spot
SB,2,33%,Medium,0.2181,C-BET — marginal spot
CO,2,33%,Medium,0.2174,C-BET — marginal spot
BB,1,33%,Dry,0.2171,C-BET — marginal spot
HJ,1,33%,Dry,0.2164,C-BET — marginal spot
UTG,2,33%,Medium,0.2157,C-BET — marginal spot
BTN,2,33%,Medium,0.215,C-BET — marginal spot
SB,1,33%,Dry,0.2147,C-BET — marginal spot
CO,1,33%,Dry,0.2139,C-BET — marginal spot
UTG,1,33%,Dry,0.2122,C-BET — marginal spot
BTN,1,33%,Dry,0.2115,C-BET — marginal spot
MP,2,33%,Medium,0.2108,CHECK — marginal spot
BB,1,50%,Wet,0.2089,CHECK — marginal spot
HJ,1,50%,Wet,0.2082,CHECK — marginal spot
MP,1,33%,Dry,0.2073,CHECK — marginal spot
SB,1,50%,Wet,0.2065,CHECK — marginal spot
CO,1,50%,Wet,0.2058,CHECK — marginal spot
UTG,1,50%,Wet,0.2041,CHECK — marginal spot
BTN,1,50%,Wet,0.2033,CHECK — marginal spot
MP,1,50%,Wet,0.1992,CHECK — marginal spot
BB,1,33%,Medium,0.1948,CHECK — marginal spot
HJ,1,33%,Medium,0.1941,CHECK — marginal spot
SB,1,33%,Medium,0.1923,CHECK — marginal spot
CO,1,33%,Medium,0.1916,CHECK — marginal spot
UTG,1,33%,Medium,0.1899,CHECK — marginal spot
BTN,1,33%,Medium,0.1892,CHECK — marginal spot
MP,1,33%,Medium,0.185,CHECK — marginal spot
BB,2,33%,Wet,0.1829,CHECK — marginal spot
HJ,2,33%,Wet,0.1822,CHECK — marginal spot
SB,2,33%,Wet,0.1804,CHECK — marginal spot
CO,2,33%,Wet,0.1797,CHECK — marginal spot
UTG,2,33%,Wet,0.178,CHECK — marginal spot
BTN,2,33%,Wet,0.1773,CHECK — marginal spot
MP,2,33%,Wet,0.1731,CHECK — marginal spot
BB,1,33%,Wet,0.1571,CHECK — poor c-bet spot
HJ,1,33%,Wet,0.1564,CHECK — poor c-bet spot
SB,1,33%,Wet,0.1547,CHECK — poor c-bet spot
CO,1,33%,Wet,0.1539,CHECK — poor c-bet spot
UTG,1,33%,Wet,0.1522,CHECK — poor c-bet spot
BTN,1,33%,Wet,0.1515,CHECK — poor c-bet spot
MP,1,33%,Wet,0.1473,CHECK — poor c-bet spot
