feature,coefficient,abs_coefficient
pot_size_bb,7.140269548413894,7.140269548413894
player_vpip_history,-1.2882633363353546,1.2882633363353546
is_3bet_pot,-1.18544587331251,1.18544587331251
is_4bet_pot,-1.005819622265339,1.005819622265339
cbet_size_to_pot,0.58113482986513,0.58113482986513
position_encoded,-0.4800596644991743,0.4800596644991743
is_in_position,-0.43600460977926314,0.43600460977926314
is_heads_up,0.3703136513485948,0.3703136513485948
is_paired_board,0.30378857595300396,0.30378857595300396
stack_depth_bb,0.27926000224101283,0.27926000224101283
board_connectedness,-0.27405044289098557,0.27405044289098557
num_opponents,-0.1912397467036587,0.1912397467036587
board_wetness_score,-0.18483541492966182,0.18483541492966182
has_straight_draw,-0.1559875808011564,0.1559875808011564
player_winrate_history,0.12681615386296746,0.12681615386296746
is_short_stack,0.10138279996253603,0.10138279996253603
board_high_card,-0.09996803604994182,0.09996803604994182
player_pfr_history,0.08533163829627807,0.08533163829627807
is_monotone,0.043123349042733086,0.043123349042733086
has_flush_draw,-0.010518073357366608,0.010518073357366608
